id,lang,path,sr,text
1,en,ej/E1.wav,16000,If he's holding onto you so tight
2,en,ej/E2.wav,16000,We don't talk anymore
3,en,ej/E3.wav,16000,Like we used to do
4,en,ej/E4.wav,16000,We don't love anymore
5,en,ej/E5.wav,16000,You've been looking for
6,en,ej/E6.wav,16000,I wish I would have known that wasn't me
7,en,ej/E7.wav,16000,"Cause even after all this time, I still wonder"
8,en,ej/E8.wav,16000,Why I can't move on
9,en,ej/E9.wav,16000,Just the way you did so easily
10,en,ej/E10.wav,16000,Should've known your love was a game
11,ja,ej/J11.wav,16000,無敵の笑顔で荒らすメディア
12,ja,ej/J12.wav,16000,知りたいその秘密ミステリアス
13,ja,ej/J13.wav,16000,抜けてるとこさえ彼女のエリア
14,ja,ej/J14.wav,16000,完璧で嘘つきな君は
15,ja,ej/J15.wav,16000,天才的なアイドル様
